,Production Run ID,Date,Temperature (°C),Pressure (Pa),Cooling Rate (°C/min),Machine Speed (RPM),Raw Material Quality (Score),Humidity (%),Ambient Temperature (°C),Maintenance (Days Since),Operator Shift,Batch Size (Units),Energy Consumption (kWh),Production Line,Production Output (Units),Defect Rate (%),Downtime (Minutes)
34,35,2023-01-02 10:00:00,196.60495185470685,5024.108127962306,5.3480479361686,1494.7995461510845,85.34675556755028,46.23604252567749,23.870209200687682,28.0,Day,92.0,42.033624981577844,Line 2,985,2.5943631110500527,36.0
35,36,2023-01-02 11:00:00,204.75847122399344,5246.701612951058,5.677429796888978,1507.3953984892087,,59.78416489079408,,27.0,Night,115.0,39.10569929310762,Line 2,972,1.9244704899004617,28.0
36,37,2023-01-02 12:00:00,215.70791045744858,5139.330275171399,5.42345481208185,1493.5220876481965,92.1459126366572,52.46207701853941,27.44490233114458,34.0,Night,99.0,56.55865854466732,Line 3,1051,1.2951907668887424,32.0
37,38,2023-01-02 13:00:00,194.9329818597513,4979.119081655804,5.735165958952573,1576.7597780724864,81.1142336676972,37.52877206986764,22.783186234850632,31.0,Day,107.0,53.39321552485613,Line 2,1042,1.9061032022655795,27.0
38,39,2023-01-02 14:00:00,203.87505790580914,4862.616301175994,3.84623338304018,1444.8184552015218,,55.76711808151523,26.276619360665556,27.0,Day,100.0,,Line 2,1027,2.2441514317391955,28.0
39,40,2023-01-02 15:00:00,208.61123803313683,5065.022073226496,5.2106808486067715,1487.1171683845935,82.62040850582761,48.76232881589237,25.36740135582571,,Day,106.0,49.31300400526875,Line 2,933,1.4941075488500752,41.0
40,41,2023-01-02 16:00:00,213.54185993942323,5105.953563777558,5.642068774693784,1607.4429330564826,89.63343524462509,49.3513596709273,24.08023866716598,33.0,Night,99.0,48.445912644523084,Line 2,988,1.827613007946236,27.0
41,42,2023-01-02 17:00:00,209.85770640204095,4749.201906389564,5.2251516826181215,1468.9714087507427,90.43645632900754,48.64546580971704,23.06555572177951,29.0,Day,95.0,43.888176363365254,Line 1,1007,1.3172968530859792,30.0
42,43,2023-01-02 18:00:00,188.85061662984594,4796.17942666348,4.928038363750876,1422.9335013229436,91.75227516196584,50.4114318785291,25.266710976449055,32.0,Day,99.0,51.24192552252394,Line 3,996,2.149666806081262,24.0
43,44,2023-01-02 19:00:00,188.8389319531032,4942.075214700661,4.387489893274,1499.4712197767515,88.87133228211862,,25.209721393179514,25.0,Night,91.0,51.34812044734645,Line 1,990,2.2983614917867548,33.0
44,45,2023-01-02 20:00:00,207.64926988532716,4733.694968345243,4.633215137389224,1554.0033937705648,84.50043943482822,44.15867931427417,22.698218860052066,36.0,Day,103.0,53.50826884670034,Line 1,1036,2.157098097532994,34.0
45,46,2023-01-02 21:00:00,196.15378660235243,4637.818094324639,5.749794904700062,1498.1161162920318,89.80739684298821,,24.22529967596488,28.0,Day,104.0,53.77754291989292,Line 1,1033,2.0482610729111634,30.0
46,47,2023-01-02 22:00:00,190.16143053540384,4793.874719949703,4.981901485528146,1475.7132644346912,86.8761530540587,,24.12946106484986,35.0,Day,100.0,49.99844771959866,Line 3,1004,2.2642395747837876,29.0
47,48,2023-01-02 23:00:00,211.88342629411548,5076.519789113786,4.684885905203416,1525.0413985326427,,44.64582450006861,26.453320751364167,31.0,Day,,50.947118456052536,Line 2,989,2.2963381023938734,31.0
48,49,2023-01-03 00:00:00,196.30328378087972,5020.381919878237,4.224481941232019,1624.5090727712113,82.67918587010449,40.093214943808185,25.0750250172091,29.0,Night,84.0,51.84173690643613,Line 1,1011,1.6955510174360249,30.0
49,50,2023-01-03 01:00:00,216.30369967864308,4911.032773963396,5.232948666812763,1487.1853893477953,84.14091451788421,54.68673698687036,25.666010611017516,39.0,Day,103.0,46.799158814642375,Line 1,1033,2.103854003821652,25.0
50,51,2023-01-03 02:00:00,195.59524323755613,4812.760892084513,4.59721798549916,1603.6071648086079,82.61649739604897,61.87973807643244,25.286903159170453,41.0,Day,101.0,46.688147825459176,Line 1,1038,1.7838117749962838,31.0
51,52,2023-01-03 03:00:00,192.53187096509853,5073.758742690208,4.983967310533218,1520.6647038011183,87.07628730889078,43.30963587640581,,36.0,Day,100.0,,Line 1,1020,1.2924087307539125,32.0
52,53,2023-01-03 04:00:00,199.3564653183867,5063.282864439348,5.862789533106229,1456.7648467696424,83.93680815902498,46.34694193647731,23.426468800811286,32.0,Night,93.0,46.42459252432329,Line 3,1008,2.475275642972412,30.0
53,54,2023-01-03 05:00:00,207.58269098750978,5248.575913375921,5.398374043666536,1583.1463721998264,87.44215014793873,49.937880570295206,28.790468014205118,26.0,Night,89.0,54.24987289497742,Line 3,1031,1.8418167035795336,35.0
54,55,2023-01-03 06:00:00,202.92930652930445,4497.738447438862,5.654828710808682,1482.566828247741,87.53603654827705,54.10928474015413,22.61698297023167,19.0,Night,91.0,54.23267884787627,Line 1,1039,,34.0
55,56,2023-01-03 07:00:00,218.91678745694136,4650.800020542142,5.071864701465069,1422.120165797902,85.03728050245414,49.636005296733586,30.0166490340908,26.0,Day,93.0,51.42986883401637,Line 2,945,2.5966271491771478,33.0
56,57,2023-01-03 08:00:00,201.71504271140267,5187.6262407740005,5.3564675615019075,1514.6941831174838,82.7437634857629,58.22769723127612,30.095887518694614,22.0,Day,106.0,61.959359534416905,Line 3,1045,1.9690884314194603,27.0
57,58,2023-01-03 09:00:00,,5094.701136027052,5.664961689848997,1476.7173805327159,,46.25801973847499,23.011235113211423,32.0,Day,81.0,58.81858187149841,Line 2,1012,2.1419851507802297,27.0
58,59,2023-01-03 10:00:00,215.09155002356417,5186.830029870009,4.585544213878814,1590.7497636602413,84.46043334321588,50.01986258182612,26.725496898582392,33.0,Night,86.0,41.6915088619515,Line 1,1000,1.9507381770310213,29.0
59,60,2023-01-03 11:00:00,205.9519585445667,4821.571436239634,4.981596465756628,1520.2772203306786,86.46722877320606,50.18814626067824,26.671358177415197,32.0,Day,89.0,56.3642602398557,Line 2,967,0.7890616107348671,27.0
60,61,2023-01-03 12:00:00,195.86420088781796,4922.17075574876,4.655423866718961,1473.2701955376303,78.17564191056785,41.231500074497134,27.26209244191847,27.0,Night,95.0,48.83858082559412,Line 1,1019,2.1265977041189705,39.0
61,62,2023-01-03 13:00:00,202.38609019171574,4744.471557724769,4.695648655299859,1543.456518163655,76.11112946516917,49.369778251081165,26.286706890842062,44.0,Night,98.0,53.31349946618713,Line 1,986,1.577315710401757,23.0
62,63,2023-01-03 14:00:00,202.18165162603512,4532.965422846079,4.925998966478877,1500.1446176722418,84.38796877275217,51.55194359425037,22.100727323443,36.0,Day,96.0,46.77566587063282,Line 3,961,1.9178962712870362,31.0
63,64,2023-01-03 15:00:00,197.94567778724675,5027.911926174339,4.523157490778098,1516.2639494518976,80.52433277561974,42.45937460819696,29.390285052036752,40.0,Day,115.0,51.361841779164884,Line 1,988,1.3816422653035478,19.0
64,65,2023-01-03 16:00:00,201.82416033716146,5283.133099316845,4.814856901959927,1380.8010548022764,90.04583520123356,46.27566032721681,30.04443996858156,33.0,Day,107.0,44.722074229051614,Line 2,1059,1.5743693848848095,33.0
65,66,2023-01-03 17:00:00,187.12387566462286,4966.484538025231,5.3429954493846,1442.4102525782494,91.52452495301887,59.09393373088822,23.40535961817204,,Day,96.0,46.50187780125874,Line 1,1032,1.4022663302418292,26.0
66,67,2023-01-03 18:00:00,196.43986065633314,4856.734805265825,4.951760857111634,1511.5607153861774,79.94406795959391,46.254859484544156,22.778480291983552,29.0,Night,94.0,51.0209923039927,Line 3,988,1.6185641556223833,18.0
67,68,2023-01-03 19:00:00,204.31257132555123,4776.078817784056,4.612123561727182,1435.9150145125225,76.48675187933182,50.6282464096009,18.921241232277374,,Night,94.0,57.45551641754814,Line 3,1001,1.8943955051352974,
68,69,2023-01-03 20:00:00,194.71752422297578,5222.770605665513,5.393155686797209,1470.2803175516176,87.87826087301868,48.4788690860495,26.452886887332042,21.0,Night,107.0,43.56836301982271,Line 3,983,2.091572564416986,37.0
69,70,2023-01-03 21:00:00,191.08459531330863,5016.217169819734,4.541829043669182,1546.3501400197476,86.01879820632486,46.898796911291505,24.274743085624443,33.0,Day,118.0,46.88544243538138,Line 2,968,2.2040397740971387,29.0
70,71,2023-01-03 22:00:00,199.59356469821304,5024.252560702281,4.447761836537548,1525.8211101292106,86.96827112555259,44.009733235001754,21.47612646803388,25.0,Night,112.0,51.757517502554926,Line 1,960,2.134545068072145,30.0
71,72,2023-01-03 23:00:00,195.27280736359117,4711.214201315895,5.600476550521278,1558.3445712441364,88.83664067490686,51.81613343236606,25.487567976970904,33.0,Night,117.0,43.52421314556152,Line 3,965,2.5113221908271326,33.0
72,73,2023-01-04 00:00:00,,4816.6351101188675,5.422678882526546,1500.6699740244135,82.90768962713722,45.33787626238945,22.50955638589092,37.0,Day,102.0,58.94413250549821,Line 1,1073,1.3242005520295983,27.0
73,74,2023-01-04 01:00:00,187.0287501457917,5146.9688864993595,4.829931107713272,1465.8870018030823,84.01473517930022,47.942035733040484,26.328772996997976,28.0,Day,109.0,49.25042522250757,Line 3,1009,2.1044349496583017,42.0
74,75,2023-01-04 02:00:00,204.08079919827665,4894.74348442684,5.947775588966019,1570.596814143903,89.06232635209311,56.154055008097956,22.93503332024985,25.0,Night,110.0,59.32700887963948,Line 3,1031,1.009180128852365,
75,76,2023-01-04 03:00:00,200.90566958367432,,4.7172641062224905,1502.3186853718148,87.23046257488575,45.57119169728372,,23.0,Day,113.0,39.56012149468682,Line 2,1001,1.6760576002829817,30.0
76,77,2023-01-04 04:00:00,203.14030939070003,5501.90932548241,5.341035123387012,,95.2346470445463,55.73136087742158,25.270699871187883,26.0,Day,101.0,45.97115900133554,Line 3,1038,1.1845172076649628,29.0
77,78,2023-01-04 05:00:00,197.01353676484922,5013.91093540292,4.209780059126764,1581.7003829715259,86.4679983026696,,23.890729828262668,29.0,Day,100.0,50.699762525103004,Line 2,973,2.5322083567655556,28.0
78,79,2023-01-04 06:00:00,184.86591925520617,4965.535514151662,4.492449756900102,1503.3831194901704,86.28325108784732,48.95810940457928,,28.0,Day,107.0,47.36649893132726,Line 1,1004,2.8400013938609514,29.0
79,80,2023-01-04 07:00:00,191.25868591129154,4972.8440883465555,5.514506700118278,1548.9718379812994,89.40684606095101,,28.51392721085758,27.0,Night,108.0,40.93072890548312,Line 2,989,1.9755435211667747,27.0
80,81,2023-01-04 08:00:00,196.78061491437074,4864.392313965865,5.7103323597895015,1514.7788208046843,95.32960685598265,42.9465514411291,23.861135195388506,27.0,Day,82.0,44.57692505687675,Line 2,1017,1.6787785976930392,24.0
81,82,2023-01-04 09:00:00,204.36090017615473,4985.497196092743,4.924936032082437,1548.8366853429568,88.57403460731616,53.61157074343217,27.579881026962227,28.0,Night,102.0,45.37194554146669,Line 3,978,1.8366352658605751,47.0
82,83,2023-01-04 10:00:00,182.51382717698624,5388.0212820891065,6.139828212765431,1532.2469966018698,83.56506464668279,45.01704647705453,25.85222485006455,18.0,Day,,51.32988655447132,Line 2,967,1.5917461832059963,29.0
83,84,2023-01-04 11:00:00,176.8879342922347,5082.615565550959,5.654513523184084,1484.8698096578808,81.6945143739571,50.90143337636865,19.348054910482162,25.0,Day,89.0,48.487311782568796,Line 1,962,2.2136856409974874,
84,85,2023-01-04 12:00:00,214.48917245437923,4680.9254946182555,4.65184009291819,1481.8464132305935,85.81123918486065,,26.565116648908305,29.0,Day,88.0,51.22461150312099,Line 2,1040,1.1609171882354272,33.0
85,86,2023-01-04 13:00:00,205.9788032975404,4912.5392080727115,4.810901990501833,1535.6574165265088,79.5004132087761,51.83198725010042,23.842841959891345,43.0,Night,98.0,55.44795517806523,Line 1,987,2.469280649160488,34.0
86,87,2023-01-04 14:00:00,191.23918107041624,5020.851333714953,4.30690046639401,1505.7730002292456,88.22849071915972,43.02583732314966,24.31327581329048,29.0,Day,93.0,54.33214009816803,Line 3,996,1.1902309657537535,27.0
87,88,2023-01-04 15:00:00,197.6532591148168,4698.7358386278465,4.7786451089656925,1499.6933707707751,86.48811111099904,47.18228875290959,,19.0,Day,103.0,55.77414287215257,Line 1,979,0.6923263111504099,26.0
88,89,2023-01-04 16:00:00,195.78772372301077,4906.427925974968,5.119610139259171,1478.330200978631,87.59119654881755,47.250516389769764,26.436964589455282,37.0,Night,98.0,51.75840506522233,Line 2,1023,1.4049242189188649,26.0
89,90,2023-01-04 17:00:00,202.89663187245245,4807.7950454958545,5.020154374221612,1486.6130864097465,76.11193632806308,52.55291319470727,24.561965615126102,35.0,Night,93.0,49.03121720584976,Line 2,998,1.7096746672091898,22.0
90,91,2023-01-04 18:00:00,194.9258902616039,4920.763882847157,5.015406293439787,1424.542581495654,91.73509170162974,57.2113090273598,23.727737878299514,39.0,Day,107.0,44.10323166378677,Line 2,984,2.2401120475171914,39.0
91,92,2023-01-04 19:00:00,188.51399680266562,5014.004485928591,5.498669143754029,1525.4762755741067,79.39582079299603,47.68354274108947,30.86920478753439,,Night,91.0,48.19399853179851,Line 2,1026,2.5420242033416596,39.0
92,93,2023-01-04 20:00:00,204.89312561259453,,5.083320908884272,1468.0250347976396,78.70730558002356,48.24798657145169,24.97401157637699,21.0,Day,103.0,49.216151854254576,Line 1,1085,2.639637387374644,29.0
93,94,2023-01-04 21:00:00,218.14396270327188,4769.228069496551,5.342509075358971,1505.4603203750855,74.91243022287625,46.38525465709937,28.06987255626385,,Day,104.0,51.24966075113493,Line 1,1035,1.7748748050179115,35.0
94,95,2023-01-04 22:00:00,205.2978806988964,4982.8666117108305,5.223338314887623,1496.7942519348976,81.97482288173374,57.80652854683056,26.03144124253337,32.0,Night,120.0,50.515760532321465,Line 3,1017,2.452195743507688,29.0
95,96,2023-01-04 23:00:00,200.7507425055492,4934.54074865691,5.143446299526544,1509.8815709629407,85.76719401826008,48.595337174024465,25.482505971054795,26.0,Day,94.0,56.59348348669897,Line 1,965,,30.0
96,97,2023-01-05 00:00:00,197.85739603954278,4955.95663764001,5.460818607553448,1501.6658301262717,84.48783475009353,52.32750818793168,28.06732841423519,28.0,Night,83.0,56.760254597098054,Line 3,991,2.538861010890426,38.0
97,98,2023-01-05 01:00:00,192.11255294983695,4836.124670062141,5.401027000515672,1522.7847944832943,88.48029267169193,51.88138254633355,25.732871660675976,25.0,Day,93.0,45.46216986254101,Line 2,985,0.6555246109735247,34.0
98,99,2023-01-05 02:00:00,384.66386581100795,4.990508167004363,4.43683388557967,1456.088959907882,91.38012934161743,45.94302518369036,24.943551836894837,35.0,Night,93.0,50.08402270352884,Line 2,1082,1.4955721340807746,31.0
99,100,2023-01-05 03:00:00,203.923412645635,5098.737019065392,5.909455577712914,1496.3914636325862,91.80198236502537,52.723717208765976,26.557243695796867,23.0,Night,94.0,53.91703465808045,Line 1,1003,1.8589029283589493,29.0
100,101,2023-01-05 04:00:00,211.8723226248168,4721.634049584476,5.060231954718884,1501.4178500025641,83.71969315097174,56.194364011606936,21.570654953522983,22.0,Day,92.0,44.36608684058857,Line 2,992,2.9223696656986937,33.0
101,102,2023-01-05 05:00:00,212.31893571543762,,4.5246474139305475,1456.9849990887014,84.26930085732683,47.766023290944105,26.3825750731286,31.0,Night,97.0,49.76584205593122,Line 1,1043,2.2223074057391736,26.0
102,103,2023-01-05 06:00:00,,5188.3255064710465,4.967501314004416,1450.9288399294087,84.31332438631718,54.79289717768367,,26.0,Night,97.0,58.481495592620035,Line 3,995,1.7716569334528298,
103,104,2023-01-05 07:00:00,201.8679664048434,4685.081710932869,5.130421357880317,1471.5970783820364,82.93489598533024,51.41744467377076,23.50500027878769,27.0,Night,99.0,53.41380838280983,Line 3,957,1.722434335333159,31.0
104,105,2023-01-05 08:00:00,200.5221657899849,5289.368188030616,5.293893253526372,1508.741108503247,95.12298765641151,44.05568582837704,26.064624055187817,27.0,Day,93.0,44.03468744949961,Line 1,1008,1.7389040875694597,33.0
105,106,2023-01-05 09:00:00,205.71011262390567,5302.91303691109,5.4802916842938805,1445.6619711106352,86.56172767801951,57.74085198572096,23.12201780583646,,Night,100.0,54.787476178012575,Line 3,980,1.567991274673004,30.0
106,107,2023-01-05 10:00:00,200.48093172373063,4899.438795713132,5.383978977337142,1547.0846462021443,87.5377823825568,,22.451872262091577,46.0,Day,112.0,48.93578117876156,Line 2,972,2.381384525055411,28.0
107,108,2023-01-05 11:00:00,401.28937322951816,,0.591915375901481,2204.108214422799,44.20077108259024,65.41824212245766,42.650168804155534,105.0,Day,540.0,94.0534712570253,Line 1,998,11.830019465874674,280.0
108,109,2023-01-05 12:00:00,191.397720145925,,,1499.6090411854022,91.06969844053,45.30935993930697,27.446829756774537,21.0,Night,97.0,54.84084314259183,Line 1,966,1.442225400934538,29.0
109,110,2023-01-05 13:00:00,191.15979321815294,4724.500770979005,4.920531164252026,1533.5197323415846,83.85255748313355,56.446259925149185,27.45751751672286,31.0,Night,108.0,54.54773445564311,Line 3,949,1.136332946390392,28.0
110,111,2023-01-05 14:00:00,193.08856222001924,5205.394510163405,4.266283478552052,1426.261539978768,87.56048319511945,45.07808971303857,28.819395577164702,36.0,Day,100.0,44.34151548254068,Line 1,977,1.7511560838158162,29.0
111,112,2023-01-05 15:00:00,202.39922811210755,4623.827336879692,5.484996659437788,1568.24424978727,,43.2951044883914,27.089749635247124,28.0,Night,106.0,51.319937992686675,Line 3,974,1.6534570390895555,30.0
112,113,2023-01-05 16:00:00,196.93599946040055,5057.877736473498,5.304775434954945,1455.8849984407996,77.20166817181762,42.15033688051721,20.373121415736257,26.0,Night,92.0,53.73846716285545,Line 1,996,2.119905140946318,33.0
113,114,2023-01-05 17:00:00,225.8237817423145,5313.599740581413,4.717181959593458,1566.3937612736697,82.56196828033008,46.655813009245556,27.906664885279415,25.0,Day,105.0,41.54924597574461,Line 1,1018,2.8298920102657728,27.0
114,115,2023-01-05 18:00:00,203.87929972450925,4662.250405114261,5.121434395007984,1526.0393562103955,84.1786830142904,53.52793157311454,23.77985043922031,28.0,Day,91.0,52.132976908315996,Line 1,983,1.5752381456496003,37.0
115,116,2023-01-05 19:00:00,,4941.38010171013,4.99490302937799,1409.757547498283,89.94807700254299,51.26470874755809,23.43171058997881,26.0,Night,72.0,43.28688869221513,Line 2,1014,2.3569048068602205,21.0
116,117,2023-01-05 20:00:00,,5227.969029850156,5.087572872281494,1492.4188764677199,102.45833492779533,43.668925153273236,26.785407356557833,28.0,Day,114.0,49.376177323236284,Line 3,983,2.3462676741074895,
117,118,2023-01-05 21:00:00,204.24669829391954,5080.461124908134,4.86287983992094,1460.8437493925098,82.81625601262935,48.56511087438598,28.01127988195728,26.0,Night,100.0,48.287247350061314,Line 2,981,1.0965416649286375,40.0
118,119,2023-01-05 22:00:00,199.59161266127416,5166.698909216324,5.0565355166659565,1582.0517651880475,,53.12807705166941,26.450362696941326,32.0,Day,101.0,42.086640791781214,Line 2,1026,1.6741187613736337,26.0
119,120,2023-01-05 23:00:00,191.01007677993925,4862.540197834089,4.240546058929918,1510.4913876909004,87.2114746388435,45.7025383986453,,35.0,Night,129.0,44.82722395290471,Line 2,1006,,34.0
120,121,2023-01-06 00:00:00,193.9813563519197,4811.856829303155,4.797128347286337,1403.1036795775135,76.37188878653346,49.11336217603147,27.6853288843886,36.0,Day,102.0,46.10728511941793,Line 3,1026,2.3933859931867616,25.0
121,122,2023-01-06 01:00:00,208.4036870699034,4960.061852857507,5.153993769769817,1563.1244305827013,76.07609611737178,58.6332349516967,25.717252168628573,33.0,Day,97.0,51.89577927292761,Line 1,1022,1.818779754302838,28.0
122,123,2023-01-06 02:00:00,202.69648665642336,5053.0674411677155,4.647435967303923,1527.4707061164254,84.31304693573217,50.33338432768673,26.213470231542296,32.0,Day,103.0,50.14698724107272,Line 3,941,1.9378396024054128,29.0
123,124,2023-01-06 03:00:00,193.57550097187936,5119.973312583143,5.194515762236,1520.771344427475,82.29172150363223,58.05768523834604,21.99892070575784,33.0,Night,113.0,54.34030979781555,Line 1,1011,1.8111095008017442,33.0
